directorio,secuencia_p,orden,fex_per,ide16,ide5,ide14__1,ide14__2,ide14__3,ide14__4,ide14__5,ide14__6,ide14_2,ide14_3,ide15__1,ide15__2,ide15__3,ide15__4,ide15__5,ide15__6,ide15__7,ide15__8,ide9,ch5__1,ch5__2,ch5__3,ch5__4,ch5__5,ch5__6,ch5__7,ch5__8,ch6,estado,mpio,sm1,sm2,sm3,sm4,sm14,mi27,mi27_1,sm5,sm6,sm7,sm8,sm15,sm16__1,sm16__2,sm16__3,sm16__4,sm16__5,sm16__6,sm17,sd1,ml17,ml18,ml20,sd2,sd3,sd4,sd5,ml21,ml15,ml16__1,ml16__2,ml16__3,ml16__4,ml16__5,ml16__6,ml16__7,ml32__1,ml32__2,ml32__3,ml32__4,ml32__5,ml32__6,ml32__7,ml32__8,ml5,ml6,ml7,ml3_19,ml3_18,ml31,ir7,pd1,pd2,pd3__1,pd3__2,pd3__3,pd3__4,pd3__5,pd3__6,pd3__7,pd3__8,pd3__9,pd3__10,pd3__11,pd4,pd5,pd6,pd7,ide10
7513004,1,1,61.53580274548314,1,2.0,0.0,1.0,0.0,0.0,0.0,0.0,2021.0,6.0,,,,,,,,,1,0,0,0,1,1,0,0,0,2,16,1617,2019,6,2019,6,6,4,,2,1,2.0,,2,,,,,,,2,2,1,1.0,,3,2,,,1,2,,,,,,,,,,,,,,,,1,5.0,9.0,1.0,18.0,2,2,2,,,,,,,,,,,,,2,3,1,4,2
7513004,1,2,54.12210618163733,1,2.0,0.0,1.0,0.0,0.0,0.0,0.0,2021.0,6.0,,,,,,,,,2,0,1,0,1,0,0,0,0,2,16,1617,2019,6,2019,6,6,4,,2,1,4.0,,2,,,,,,,2,2,1,1.0,,3,2,,,4,2,,,,,,,,,,,,,,,,4,,,,,2,2,2,,,,,,,,,,,,,2,3,1,4,2
7513004,1,3,54.12210618163733,1,2.0,0.0,1.0,0.0,0.0,0.0,0.0,2021.0,6.0,,,,,,,,,2,0,1,0,0,1,0,0,0,2,16,1617,2019,6,2019,6,6,4,,2,1,2.0,,2,,,,,,,2,2,1,1.0,,3,2,,,1,2,,,,,,,,,,,,,,,,1,5.0,9.0,1.0,20.0,1,2,2,,,,,,,,,,,,,2,3,1,4,2
7513035,1,1,155.4509716881836,1,2.0,0.0,1.0,0.0,0.0,0.0,0.0,2021.0,12.0,,,,,,,,,1,0,1,0,1,0,0,0,0,2,1,101,2018,6,2018,6,6,4,,1,1,4.0,,1,0.0,1.0,0.0,0.0,0.0,0.0,2,2,1,1.0,,2,2,,,4,2,,,,,,,,,,,,,,,,4,,,,,2,2,2,,,,,,,,,,,,,2,3,1,5,2
7513035,1,2,148.6751305886378,1,2.0,0.0,1.0,0.0,0.0,0.0,0.0,2021.0,12.0,,,,,,,,,1,0,0,0,1,0,1,0,0,2,1,101,2018,6,2018,6,6,4,,1,1,4.0,,1,0.0,1.0,0.0,0.0,0.0,0.0,2,2,1,1.0,,2,2,,,1,2,,,,,,,,,,,,,,,,1,5.0,9.0,1.0,40.0,1,2,2,,,,,,,,,,,,,2,3,1,4,2
7513035,1,6,54.12210618163733,1,2.0,0.0,1.0,0.0,0.0,0.0,0.0,2021.0,12.0,,,,,,,,,2,0,0,0,0,1,1,0,0,2,1,101,2018,6,2018,6,6,4,,1,1,2.0,,1,0.0,1.0,0.0,0.0,0.0,0.0,2,2,1,1.0,,2,2,,,4,2,,,,,,,,,,,,,,,,4,,,,,2,2,2,,,,,,,,,,,,,2,3,1,4,3
7513049,1,1,155.4509716881836,2,,,,,,,,,,,,,,,,,,2,0,0,0,0,0,1,0,0,2,21,2107,2020,12,2020,12,6,4,,2,1,2.0,,2,,,,,,,2,2,1,1.0,,2,2,,,4,2,,,,,,,,,,,,,,,,4,,,,,2,2,2,,,,,,,,,,,,,2,4,1,11,3
7513049,1,2,155.4509716881836,1,2.0,0.0,1.0,0.0,0.0,0.0,0.0,2022.0,4.0,,,,,,,,,2,0,0,0,0,0,1,0,0,2,21,2107,2020,12,2020,12,6,4,,2,1,2.0,,2,,,,,,,2,2,1,1.0,,2,2,,,3,2,,,,,,,,,,,,,,,,3,,,,,1,2,2,,,,,,,,,,,,,2,4,4,5,1
7513050,1,1,61.53580274548314,1,2.0,0.0,0.0,0.0,0.0,1.0,0.0,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0,0,0,1,0,0,0,0,2,1,101,2021,2,2021,2,6,4,,2,1,4.0,,1,0.0,1.0,0.0,0.0,0.0,0.0,2,3,2,,2.0,2,2,,,1,2,,,,,,,,,,,,,,,,1,3.0,3.0,1.0,46.0,2,2,2,,,,,,,,,,,,,2,4,1,3,2
7513050,1,2,54.12210618163733,1,2.0,0.0,0.0,0.0,0.0,1.0,0.0,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2,0,0,0,1,0,0,0,0,2,1,101,2021,2,2021,2,6,4,,2,1,2.0,,2,,,,,,,2,2,2,,2.0,2,2,,,1,2,,,,,,,,,,,,,,,,1,5.0,9.0,1.0,44.0,2,2,2,,,,,,,,,,,,,2,3,1,3,2
7513369,1,1,25.98679748264872,1,2.0,0.0,0.0,0.0,0.0,1.0,0.0,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2,0,0,0,1,1,0,0,0,2,5,508,2021,13,2021,13,6,4,,1,1,2.0,,1,1.0,1.0,0.0,0.0,0.0,0.0,2,2,99,,,2,1,2.0,3.0,3,2,,,,,,,,,,,,,,,,4,,,,,2,2,2,,,,,,,,,,,,,2,4,1,3,2
7513674,1,1,45.87862778129043,1,2.0,0.0,1.0,0.0,0.0,0.0,0.0,2022.0,3.0,,,,,,,,,2,0,0,0,1,1,1,0,0,2,16,1608,2018,9,2018,9,6,4,,1,1,7.0,,2,,,,,,,2,3,1,1.0,,2,1,1.0,,1,2,,,,,,,,,,,,,,,,1,4.0,2.0,1.0,42.0,1,1,2,,,,,,,,,,,,,2,2,1,6,2
7513674,1,2,42.08959087767803,1,2.0,0.0,1.0,0.0,0.0,0.0,0.0,2022.0,6.0,,,,,,,,,1,0,0,0,1,1,1,0,0,2,16,1608,2018,9,2018,9,6,4,,1,1,7.0,,2,,,,,,,2,3,1,1.0,,2,2,,,1,2,,,,,,,,,,,,,,,,1,5.0,9.0,1.0,70.0,2,2,2,,,,,,,,,,,,,2,2,1,4,3
7513674,1,3,45.87862778129043,1,2.0,0.0,1.0,0.0,0.0,0.0,0.0,2022.0,6.0,,,,,,,,,2,0,1,1,1,0,1,0,0,2,16,1608,2018,9,2025,1,6,4,,1,1,7.0,,2,,,,,,,2,3,1,1.0,,2,1,1.0,,3,2,,,,,,,,,,,,,,,,4,,,,,1,2,2,,,,,,,,,,,,,2,2,1,4,1
7513674,1,4,42.08959087767803,1,2.0,0.0,1.0,0.0,0.0,0.0,0.0,2021.0,12.0,,,,,,,,,1,0,1,0,1,0,1,0,0,2,16,1602,2019,1,2019,1,6,4,,1,1,8.0,,2,,,,,,,2,2,2,,9.0,2,2,,,3,2,,,,,,,,,,,,,,,,1,5.0,2.0,1.0,76.0,1,2,2,,,,,,,,,,,,,2,3,1,1,2
7513674,1,5,45.87862778129043,1,2.0,0.0,1.0,0.0,0.0,0.0,0.0,2021.0,12.0,,,,,,,,,2,0,1,1,0,0,1,0,0,2,16,1608,2018,9,2025,1,6,4,,1,1,7.0,,2,,,,,,,2,2,1,1.0,,2,1,1.0,,3,2,,,,,,,,,,,,,,,,1,1.0,2.0,1.0,60.0,1,2,2,,,,,,,,,,,,,2,3,1,7,1
7513674,1,6,42.08959087767803,1,2.0,0.0,1.0,0.0,0.0,0.0,0.0,2023.0,6.0,,,,,,,,,1,1,0,0,0,0,0,0,0,1,5,514,2018,11,2018,11,6,4,,1,1,7.0,,1,0.0,1.0,0.0,0.0,0.0,0.0,2,2,2,,7.0,2,2,,,1,2,,,,,,,,,,,,,,,,1,5.0,9.0,1.0,66.0,1,1,2,,,,,,,,,,,,,2,1,1,11,2
7513684,1,1,45.87862778129043,1,2.0,0.0,1.0,0.0,0.0,0.0,0.0,2022.0,3.0,,,,,,,,,2,0,1,1,0,0,1,0,0,2,14,1403,2019,3,2019,3,6,4,,1,1,7.0,,1,0.0,1.0,0.0,0.0,0.0,0.0,1,2,1,1.0,,2,2,,,3,2,,,,,,,,,,,,,,,,1,2.0,1.0,1.0,66.0,1,2,2,,,,,,,,,,,,,2,2,1,4,1
7513684,1,2,251.0726901743009,1,2.0,0.0,1.0,0.0,0.0,0.0,0.0,2022.0,3.0,,,,,,,,,1,0,0,0,0,1,1,0,0,3,14,1403,2018,11,2018,11,6,4,,1,1,7.0,,1,0.0,1.0,0.0,0.0,0.0,0.0,1,2,1,2.0,,1,1,1.0,,1,2,,,,,,,,,,,,,,,,1,4.0,4.0,2.0,66.0,1,1,2,,,,,,,,,,,,,2,2,1,7,2
7513684,1,3,45.87862778129043,1,2.0,0.0,0.0,0.0,0.0,1.0,0.0,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2,0,1,1,1,1,0,0,0,3,14,1403,2022,3,2022,3,6,4,,1,1,7.0,,1,0.0,1.0,0.0,0.0,0.0,0.0,1,2,2,,2.0,2,2,,,1,2,,,,,,,,,,,,,,,,1,5.0,5.0,1.0,66.0,2,1,2,,,,,,,,,,,,,2,2,1,4,2
7513684,1,4,42.08959087767803,1,2.0,0.0,0.0,0.0,0.0,1.0,0.0,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0,0,0,1,1,1,0,0,3,14,1403,2022,3,2022,3,6,4,,1,1,7.0,,1,0.0,1.0,0.0,0.0,0.0,0.0,1,2,2,,2.0,2,2,,,1,2,,,,,,,,,,,,,,,,1,4.0,2.0,1.0,60.0,2,2,2,,,,,,,,,,,,,2,2,1,4,2
7513684,1,6,45.87862778129043,1,2.0,0.0,0.0,0.0,0.0,1.0,0.0,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2,0,1,1,1,0,1,0,0,3,14,1403,2021,7,2021,7,5,4,,1,1,7.0,,1,0.0,1.0,0.0,0.0,0.0,0.0,1,2,2,,2.0,2,2,,,4,2,,,,,,,,,,,,,,,,4,,,,,2,1,2,,,,,,,,,,,,,2,2,1,4,2
